City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Popondetta,PG,74.44,overcast clouds,-8.7537,148.2534,Timos Transit House
4,Hasaki,JP,61.2,overcast clouds,35.7333,140.8333,Inubosaki Kanko Hotel
8,Lock Haven,US,64.9,clear sky,41.137,-77.4469,Fairfield Inn & Suites by Marriott Lock Haven
10,Antalaha,MG,75.34,light rain,-14.9003,50.2788,Hotel Vitasoa
12,Los Llanos De Aridane,ES,67.75,broken clouds,28.6585,-17.9182,Valle Aridane
14,Vaini,TO,73.56,few clouds,-21.2,-175.2,Keleti Beach Resort
16,Morondava,MG,77.92,clear sky,-20.2833,44.2833,La Case Bambou
19,Hilo,US,82.27,light rain,19.7297,-155.09,Hilo Hawaiian Hotel
21,Baghdad,IQ,76.91,clear sky,33.3406,44.4009,Baghdad Hotel
22,Rikitea,PF,76.48,light rain,-23.1203,-134.9692,People ThankYou
23,Albany,US,61.57,broken clouds,42.6001,-73.9662,
24,Cabedelo,BR,86.67,overcast clouds,-6.9811,-34.8339,Hotel Pigalle
28,Parrita,CR,86.07,scattered clouds,9.5201,-84.3225,Beso del Viento
30,Sao Filipe,CV,72.7,clear sky,14.8961,-24.4956,Hotel Xaguate
31,Udayagiri,IN,72.77,overcast clouds,20.1333,84.3833,Hotel Disha
33,Lubao,PH,83.91,scattered clouds,14.9167,120.55,Hacienda Gracia
35,Vila Franca Do Campo,PT,68.41,overcast clouds,37.7167,-25.4333,Pestana Bahia Praia
37,Eyl,SO,84.56,broken clouds,7.9803,49.8164,Amiin Hotel
38,Atuona,PF,78.91,scattered clouds,-9.8,-139.0333,Villa Enata
42,Coquimbo,CL,62.33,overcast clouds,-29.9533,-71.3436,Hotel San Juan
44,Victoria,HK,77.38,light rain,22.2855,114.1577,Mini Hotel Central
45,Richards Bay,ZA,67.62,light rain,-28.783,32.0377,BON Hotel Waterfront Richards Bay
46,Namatanai,PG,80.28,overcast clouds,-3.6667,152.4333,Seagulls Inn Namatani
48,Dahra,DZ,70.99,scattered clouds,36.2546,0.8519,Ein Mtabol
49,Pisco,PE,72.01,clear sky,-13.7,-76.2167,Hotel San Isidro Oficial
51,Sao Joao Da Barra,BR,80.69,scattered clouds,-21.6403,-41.0511,Pousada Porto De Canoas
53,Kahului,US,75.85,few clouds,20.8947,-156.47,Maui Seaside Hotel
55,Kapaa,US,73.72,broken clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
57,Nishihara,JP,76.68,overcast clouds,26.1842,127.7558,Minshuku Agaihama
59,Arraial Do Cabo,BR,75.16,scattered clouds,-22.9661,-42.0278,Pousada Porto Praia
61,Saint-Philippe,RE,72.99,scattered clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
62,Camalu,MX,63.28,broken clouds,30.85,-116.0667,La Cueva del Pirata
66,Amahai,ID,80.19,overcast clouds,-3.3333,128.9167,HOTEL ISABELA
68,Castro,BR,67.42,few clouds,-24.7911,-50.0119,CHACARA BAILLY
73,Mar Del Plata,AR,73.94,clear sky,-38.0023,-57.5575,Gran Hotel Mar del Plata
78,Carnarvon,AU,62.67,clear sky,-24.8667,113.6333,Hospitality Carnarvon
79,Cockburn Town,TC,82.36,scattered clouds,21.4612,-71.1419,Osprey Beach Hotel
82,Sarangani,PH,79.3,heavy intensity rain,5.4033,125.4636,Ballistic Islet
87,Lodja,CD,75.11,broken clouds,-3.4833,23.4333,
89,East London,ZA,64.26,overcast clouds,-33.0153,27.9116,Tu Casa
90,Saint-Denis,FR,72.36,clear sky,48.9167,2.3333,ibis budget Paris Porte de Montmartre
91,Baherden,TM,71.49,light rain,38.4362,57.4316,
93,Andros Town,BS,76.96,few clouds,24.7,-77.7667,Hanks place
94,Abu Kamal,SY,74.01,clear sky,34.4506,40.9171,البوكمال
95,Pandan,PH,80.6,few clouds,14.0453,124.1694,Bonifacio Lodge
98,Faya,SA,69.91,clear sky,18.3851,42.4509,املاك خالد الشعشوع
99,Mahebourg,MU,75.49,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
102,Buala,SB,79.97,light rain,-8.145,159.5921,Maringe Lagoon Lodge
103,Hangal,IN,77.18,overcast clouds,14.7667,75.1333,Sri Aadhi sakthi Lodge
104,Emerald,AU,66.51,overcast clouds,-23.5333,148.1667,The Irish Village
107,Laguna,US,62.44,clear sky,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
108,Bambous Virieux,MU,75.45,scattered clouds,-20.3428,57.7575,Casa Tia Villa
109,Faanui,PF,80.65,moderate rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
110,Yarim,YE,64.74,light rain,14.298,44.3779,وليد المسوري ابو اسد
111,Poum,NC,76.06,overcast clouds,-20.2333,164.0167,
112,Sikonge,TZ,72.37,overcast clouds,-5.6333,32.7667,Pretoria 2 Lodge
115,Kilindoni,TZ,81.34,few clouds,-7.9139,39.6668,Bustani B&B
116,Ambilobe,MG,74.68,scattered clouds,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
