City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Bluff,NZ,-46.6,168.3333,50.81,90,55,2.37,moderate rain
1,Popondetta,PG,-8.7537,148.2534,74.44,92,97,2.93,overcast clouds
2,New Norfolk,AU,-42.7826,147.0587,42.71,77,23,2.39,few clouds
3,Ostersund,SE,63.1792,14.6357,39.65,60,75,10.36,broken clouds
4,Hasaki,JP,35.7333,140.8333,61.2,49,100,12.77,overcast clouds
5,Punta Arenas,CL,-53.15,-70.9167,46.51,57,40,27.63,scattered clouds
6,Fairbanks,US,64.8378,-147.7164,39.09,74,100,5.75,overcast clouds
7,Cherskiy,RU,68.75,161.3,7.75,96,93,3.36,overcast clouds
8,Lock Haven,US,41.137,-77.4469,64.9,37,0,9.53,clear sky
9,Nikolskoye,RU,59.7035,30.7861,43.72,74,60,5.06,broken clouds
10,Antalaha,MG,-14.9003,50.2788,75.34,89,75,5.48,light rain
11,Brownsville,US,25.9018,-97.4975,91.4,68,40,19.57,scattered clouds
12,Los Llanos De Aridane,ES,28.6585,-17.9182,67.75,68,75,14.97,broken clouds
13,Birao,CF,10.2849,22.7882,94.69,16,31,3.71,scattered clouds
14,Vaini,TO,-21.2,-175.2,73.56,88,20,6.91,few clouds
15,Srednekolymsk,RU,67.45,153.6833,21.81,88,97,7.16,overcast clouds
16,Morondava,MG,-20.2833,44.2833,77.92,76,0,12.01,clear sky
17,Rognan,NO,67.0953,15.3878,40.05,87,100,4.65,overcast clouds
18,Tiksi,RU,71.6872,128.8694,0.19,99,51,4.21,broken clouds
19,Hilo,US,19.7297,-155.09,82.27,93,100,5.75,light rain
20,Tommot,RU,58.9564,126.2925,38.37,98,100,7.7,moderate rain
21,Baghdad,IQ,33.3406,44.4009,76.91,27,0,5.75,clear sky
22,Rikitea,PF,-23.1203,-134.9692,76.48,79,44,22.68,light rain
23,Albany,US,42.6001,-73.9662,61.57,31,65,1.99,broken clouds
24,Cabedelo,BR,-6.9811,-34.8339,86.67,71,95,15.48,overcast clouds
25,Kichera,RU,55.9375,110.0997,33.62,74,100,4.07,overcast clouds
26,Cowra,AU,-33.8333,148.6833,42.58,89,0,4.88,clear sky
27,Mataura,NZ,-46.1927,168.8643,50.49,98,82,1.52,broken clouds
28,Parrita,CR,9.5201,-84.3225,86.07,68,41,6.69,scattered clouds
29,Roald,NO,62.5833,6.1333,52.72,71,0,10.36,clear sky
30,Sao Filipe,CV,14.8961,-24.4956,72.7,79,7,10.76,clear sky
31,Udayagiri,IN,20.1333,84.3833,72.77,80,91,5.66,overcast clouds
32,Port Alfred,ZA,-33.5906,26.891,58.17,90,91,3.0,overcast clouds
33,Lubao,PH,14.9167,120.55,83.91,76,37,4.16,scattered clouds
34,Deputatskiy,RU,69.3,139.9,10.69,99,100,3.44,overcast clouds
35,Vila Franca Do Campo,PT,37.7167,-25.4333,68.41,78,89,0.11,overcast clouds
36,Sindor,RU,62.8629,51.8905,55.74,51,58,12.59,broken clouds
37,Eyl,SO,7.9803,49.8164,84.56,76,64,15.95,broken clouds
38,Atuona,PF,-9.8,-139.0333,78.91,72,48,16.84,scattered clouds
39,Te Anau,NZ,-45.4167,167.7167,47.68,92,54,1.12,broken clouds
40,Wanaka,NZ,-44.7,169.15,47.1,97,100,2.42,overcast clouds
41,Sorland,NO,67.667,12.6934,37.26,83,100,20.65,light rain
42,Coquimbo,CL,-29.9533,-71.3436,62.33,67,100,6.91,overcast clouds
43,Busselton,AU,-33.65,115.3333,57.9,83,5,4.14,clear sky
44,Victoria,HK,22.2855,114.1577,77.38,80,100,8.99,light rain
45,Richards Bay,ZA,-28.783,32.0377,67.62,84,99,10.42,light rain
46,Namatanai,PG,-3.6667,152.4333,80.28,83,99,10.18,overcast clouds
47,Kodiak,US,57.79,-152.4072,44.11,49,0,16.11,clear sky
