City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Sorland,NO,2022-05-08 00:01:12,67.667,12.6934,33.66,58,89,21.5
1,Chitral,PK,2022-05-08 00:01:13,35.8462,71.7858,63.93,40,0,7.2
2,Bluff,NZ,2022-05-07 23:56:27,-46.6,168.3333,58.8,95,100,6.44
3,Ushuaia,AR,2022-05-07 23:54:28,-54.8,-68.3,47.86,49,20,18.41
4,Hobart,AU,2022-05-07 23:55:05,-42.8794,147.3294,56.26,76,40,6.91
5,Aksarka,RU,2022-05-08 00:01:15,66.5606,67.7975,29.21,98,84,9.17
6,Bredasdorp,ZA,2022-05-07 23:54:56,-34.5322,20.0403,53.56,92,29,2.75
7,Namatanai,PG,2022-05-07 23:59:13,-3.6667,152.4333,84.06,73,46,10.56
8,Provideniya,RU,2022-05-08 00:01:16,64.3833,-173.3,33.67,88,99,7.85
9,Mataura,NZ,2022-05-07 23:54:53,-46.1927,168.8643,58.48,98,100,0.18
10,Biala Podlaska,PL,2022-05-07 23:59:40,52.0324,23.1165,50.56,82,43,4.0
11,Yellowknife,CA,2022-05-07 23:50:15,62.456,-114.3525,36.12,100,100,21.85
12,Kutum,SD,2022-05-08 00:01:17,14.2,24.6667,73.65,11,60,7.78
13,Busselton,AU,2022-05-08 00:01:18,-33.65,115.3333,61.11,64,77,4.7
14,Husavik,IS,2022-05-07 23:55:10,66.0449,-17.3389,39.34,71,100,5.64
15,Znamenskoye,RU,2022-05-08 00:01:19,57.1281,73.8282,35.1,96,86,3.87
16,Kapaa,US,2022-05-07 23:50:19,22.0752,-159.319,82.38,77,75,18.41
17,Luderitz,NA,2022-05-08 00:01:20,-26.6481,15.1594,54.0,77,0,15.61
18,Albany,US,2022-05-07 23:56:23,42.6001,-73.9662,52.88,42,100,1.01
19,Sola,VU,2022-05-07 23:54:57,-13.8833,167.55,81.64,72,3,20.51
20,Lagoa,PT,2022-05-07 23:54:52,39.05,-27.9833,60.33,71,63,4.29
21,Saint-Philippe,RE,2022-05-08 00:00:41,-21.3585,55.7679,71.19,84,35,10.98
22,Shubarshi,KZ,2022-05-08 00:01:21,48.5872,57.1869,48.34,42,100,20.89
23,Bereznyky,UA,2022-05-08 00:01:22,48.5141,23.2198,49.05,94,28,5.32
24,Algeciras,ES,2022-05-08 00:01:22,36.1333,-5.4505,59.68,92,52,7.14
25,Sitka,US,2022-05-07 23:59:08,57.0531,-135.33,47.05,68,77,7.07
26,Punta Arenas,CL,2022-05-08 00:01:23,-53.15,-70.9167,46.11,65,33,21.14
27,Zile,TR,2022-05-08 00:01:24,40.3031,35.8864,44.22,87,100,2.15
28,Longyearbyen,SJ,2022-05-08 00:01:25,78.2186,15.6401,12.04,52,20,6.91
29,Kinshasa,CD,2022-05-08 00:01:26,-4.3246,15.3215,73.92,92,96,1.83
30,Nikolskoye,RU,2022-05-08 00:01:26,59.7035,30.7861,47.88,94,100,8.08
31,Rocha,UY,2022-05-08 00:01:27,-34.4833,-54.3333,57.56,90,67,4.25
32,Clyde River,CA,2022-05-07 23:59:32,70.4692,-68.5914,21.43,86,100,0.0
33,Puerto Ayora,EC,2022-05-07 23:58:23,-0.7393,-90.3518,72.39,88,26,7.78
